tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
399,4/30/2016 16:38:28,4/30/2016 16:45:08,463,9 Ave & W 16 St,40.74206539,-74.00443172,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,15078,Customer,,0
1587,4/30/2016 16:38:31,4/30/2016 17:04:58,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,459,W 20 St & 11 Ave,40.746745,-74.007756,20845,Subscriber,1984.0,1
797,4/30/2016 16:38:30,4/30/2016 16:51:47,3236,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188,468,Broadway & W 55 St,40.7652654,-73.98192338,20106,Subscriber,1988.0,1
562,4/30/2016 16:38:29,4/30/2016 16:47:52,474,5 Ave & E 29 St,40.7451677,-73.98683077,458,11 Ave & W 27 St,40.751396,-74.005226,23097,Customer,,0
1981,4/30/2016 16:38:30,4/30/2016 17:11:32,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,426,West St & Chambers St,40.71754834,-74.01322069,21081,Customer,,0
2059,4/30/2016 16:38:30,4/30/2016 17:12:50,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,426,West St & Chambers St,40.71754834,-74.01322069,24233,Customer,,0
1795,4/30/2016 16:38:31,4/30/2016 17:08:27,147,Greenwich St & Warren St,40.71542197,-74.01121978,358,Christopher St & Greenwich St,40.73291553,-74.00711384,16020,Customer,,0
806,4/30/2016 16:38:34,4/30/2016 16:52:01,285,Broadway & E 14 St,40.73454567,-73.99074142,151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,19943,Subscriber,1953.0,1
257,4/30/2016 16:38:33,4/30/2016 16:42:51,285,Broadway & E 14 St,40.73454567,-73.99074142,335,Washington Pl & Broadway,40.72903917,-73.99404649,22113,Subscriber,1992.0,1
583,4/30/2016 16:38:32,4/30/2016 16:48:16,368,Carmine St & 6 Ave,40.73038599,-74.00214988,334,W 20 St & 7 Ave,40.74238787,-73.99726235,22792,Subscriber,1984.0,1
659,4/30/2016 16:38:32,4/30/2016 16:49:32,482,W 15 St & 7 Ave,40.73935542,-73.99931783,540,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,22160,Subscriber,1989.0,1
1803,4/30/2016 16:38:33,4/30/2016 17:08:37,3163,Central Park West & W 68 St,40.7734066,-73.97782542,3143,5 Ave & E 78 St,40.77682863439968,-73.96388769149779,19179,Customer,,0
1342,4/30/2016 16:38:37,4/30/2016 17:00:59,224,Spruce St & Nassau St,40.71146364,-74.00552427,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,17612,Customer,,0
